User_Addr,Class,Eyes,Ears,Back,Mouth,Horn,Tail,Winrate
https://axie.zone//profile?ron_addr=0xb19773a478f1eb20cfa6fda2a0e34798217806a3,Aquatic,Clear,Inkling,Bone Sail,Cute Bunny,Oranda,Nimo,0
https://axie.zone//profile?ron_addr=0x7e574900d3ea0d8b3573d94e5dc5d05de535512d,Bug,Bookworm,Small Frill,Garish Worm,Cute Bunny,Antenna,Fish Snack,0
https://axie.zone//profile?ron_addr=0x7e574900d3ea0d8b3573d94e5dc5d05de535512d,Dusk,Clear,Innocent Lamb,Bone Sail,Pincer,Antenna,Fish Snack,0
https://axie.zone//profile?ron_addr=0x7e574900d3ea0d8b3573d94e5dc5d05de535512d,Dusk,Clear,Tiny Fan,Bone Sail,Cute Bunny,Antenna,Nimo,0
https://axie.zone//profile?ron_addr=0x665b770cc5debcde7e1b7ef5dbdba5a2cd816367,Dusk,Nerdy,Clover,Pumpkin,Pincer,Leaf Bug,Yam,0
https://axie.zone//profile?ron_addr=0x665b770cc5debcde7e1b7ef5dbdba5a2cd816367,Dusk,Clear,Inkling,Garish Worm,Tiny Turtle,Wing Horn,Grass Snake,0
https://axie.zone//profile?ron_addr=0x665b770cc5debcde7e1b7ef5dbdba5a2cd816367,Dusk,Telescope,Seaslug,Garish Worm,Toothless Bite,Cerastes,Grass Snake,0
https://axie.zone//profile?ron_addr=0x850e0d2892df9e9bc6c27e84295ac0954b68e408,Aquatic,Telescope,Inkling,Anemone,Piranha,Anemone,Nimo,0
https://axie.zone//profile?ron_addr=0x850e0d2892df9e9bc6c27e84295ac0954b68e408,Plant,Confused,Sakura,Bidens,Zigzag,Cactus,Hot Butt,0
https://axie.zone//profile?ron_addr=0x850e0d2892df9e9bc6c27e84295ac0954b68e408,Bird,Mavis,Peace Maker,Ronin,Doubletalk,Kestrel,Post Fight,0
https://axie.zone//profile?ron_addr=0x4531788db38061cd93c829ccc2d5ae90af84d969,Reptile,Topaz,Small Frill,Garish Worm,Toothless Bite,Cerastes,Grass Snake,0
https://axie.zone//profile?ron_addr=0x4531788db38061cd93c829ccc2d5ae90af84d969,Plant,Papi,Clover,Pumpkin,Serious,Leaf Bug,Yam,0
https://axie.zone//profile?ron_addr=0x4531788db38061cd93c829ccc2d5ae90af84d969,Dusk,Gero,Early Bird,Garish Worm,Tiny Turtle,Wing Horn,Grass Snake,0
https://axie.zone//profile?ron_addr=0x2f56b886025281b37ec24c68625f365fb039ba63,Plant,Papi,Clover,Pumpkin,Serious,Leaf Bug,Yam,0
https://axie.zone//profile?ron_addr=0x2f56b886025281b37ec24c68625f365fb039ba63,Reptile,Mavis,Tiny Fan,Bone Sail,Toothless Bite,Incisor,Grass Snake,0
https://axie.zone//profile?ron_addr=0x2f56b886025281b37ec24c68625f365fb039ba63,Dusk,Mavis,Nimo,Furball,Tiny Turtle,Wing Horn,Grass Snake,0
https://axie.zone//profile?ron_addr=0xef609dc490e1afda29f6e3484980acf34441b44c,Aquatic,Telescope,Nimo,Goldfish,Cute Bunny,Arco,Nimo,0
https://axie.zone//profile?ron_addr=0xef609dc490e1afda29f6e3484980acf34441b44c,Plant,Papi,Sidebarb,Garish Worm,Pincer,Cactus,Hot Butt,0
https://axie.zone//profile?ron_addr=0xef609dc490e1afda29f6e3484980acf34441b44c,Bug,Papi,Early Bird,Garish Worm,Pincer,Parasite,Fish Snack,0
https://axie.zone//profile?ron_addr=0x775e91fc17205d15facac477ceefec111d9cc29c,Plant,Papi,Lotus,Bidens,Zigzag,Beech,Hot Butt,0
https://axie.zone//profile?ron_addr=0x775e91fc17205d15facac477ceefec111d9cc29c,Dusk,Clear,Curly,Risky Beast,Nut Cracker,Dual Blade,Nut Cracker,0
https://axie.zone//profile?ron_addr=0x775e91fc17205d15facac477ceefec111d9cc29c,Plant,Papi,Curly,Bidens,Zigzag,Leaf Bug,Hot Butt,0
https://axie.zone//profile?ron_addr=0xafaeb2f2a871617cb31d18e65c0081d530c1cae5,Reptile,Gecko,Curved Spine,Garish Worm,Toothless Bite,Cerastes,Grass Snake,0
https://axie.zone//profile?ron_addr=0xafaeb2f2a871617cb31d18e65c0081d530c1cae5,Plant,Cucumber Slice,Lotus,Pumpkin,Pincer,Leaf Bug,Yam,0
https://axie.zone//profile?ron_addr=0xafaeb2f2a871617cb31d18e65c0081d530c1cae5,Dusk,Mavis,Early Bird,Garish Worm,Tiny Turtle,Wing Horn,Grass Snake,0
